Naturais,Ciclo Perfeito,A / B,Excluídos-por-si,
1,8640000,"0,00000011574074074074",,
2,8640000,"0,00000023148148148148",,
3,8640000,"0,00000034722222222222",,
4,8640000,"0,00000046296296296296",,
5,8640000,"0,00000057870370370370",,
6,8640000,"0,00000069444444444445",,
7,8640000,"0,00000081018518518519",7,"0,0000006 e 0,0000008 não tem o 0,0000007 – o 7 foi excluído"
8,8640000,"0,00000092592592592593",,
9,8640000,"0,00000104166666666667",,
10,8640000,"0,00000115740740740741",,
11,8640000,"0,00000127314814814815",,
12,8640000,"0,00000138888888888889",,
13,8640000,"0,00000150462962962963",14,
14,8640000,"0,00000162037037037037",,
15,8640000,"0,00000173611111111111",,
16,8640000,"0,00000185185185185185",,
17,8640000,"0,00000196759259259259",,
18,8640000,"0,00000208333333333333",,
19,8640000,"0,00000219907407407407",,
20,8640000,"0,00000231481481481481",22,
21,8640000,"0,00000243055555555556",,
22,8640000,"0,00000254629629629630",,
23,8640000,"0,00000266203703703704",,
24,8640000,"0,00000277777777777778",,
25,8640000,"0,00000289351851851852",,
26,8640000,"0,00000300925925925926",29,
27,8640000,"0,00000312500000000000",,
28,8640000,"0,00000324074074074074",,
29,8640000,"0,00000335648148148148",,
30,8640000,"0,00000347222222222222",,
31,8640000,"0,00000358796296296296",,
32,8640000,"0,00000370370370370370",36,
33,8640000,"0,00000381944444444444",,
34,8640000,"0,00000393518518518519",,
35,8640000,"0,00000405092592592593",,
36,8640000,"0,00000416666666666667",,
37,8640000,"0,00000428240740740741",,
38,8640000,"0,00000439814814814815",,
39,8640000,"0,00000451388888888889",44,
40,8640000,"0,00000462962962962963",,
41,8640000,"0,00000474537037037037",,
42,8640000,"0,00000486111111111111",,
43,8640000,"0,00000497685185185185",,
44,8640000,"0,00000509259259259259",,
45,8640000,"0,00000520833333333333",51,
46,8640000,"0,00000532407407407407",,
47,8640000,"0,00000543981481481482",,
48,8640000,"0,00000555555555555556",,
49,8640000,"0,00000567129629629630",,
50,8640000,"0,00000578703703703704",,
51,8640000,"0,00000590277777777778",58,
52,8640000,"0,00000601851851851852",,
53,8640000,"0,00000613425925925926",,
54,8640000,"0,00000625000000000000",,
55,8640000,"0,00000636574074074074",,
56,8640000,"0,00000648148148148148",,
57,8640000,"0,00000659722222222222",,
58,8640000,"0,00000671296296296296",66,
59,8640000,"0,00000682870370370370",,
60,8640000,"0,00000694444444444445",,
61,8640000,"0,00000706018518518519",,
62,8640000,"0,00000717592592592593",,
63,8640000,"0,00000729166666666667",,
64,8640000,"0,00000740740740740741",73,
65,8640000,"0,00000752314814814815",,
66,8640000,"0,00000763888888888889",,
67,8640000,"0,00000775462962962963",,
68,8640000,"0,00000787037037037037",,
69,8640000,"0,00000798611111111111",,
70,8640000,"0,00000810185185185185",80,
71,8640000,"0,00000821759259259259",,
72,8640000,"0,00000833333333333333",,
73,8640000,"0,00000844907407407407",,
74,8640000,"0,00000856481481481482",,
75,8640000,"0,00000868055555555556",,
76,8640000,"0,00000879629629629630",,
77,8640000,"0,00000891203703703704",88,
78,8640000,"0,00000902777777777778",,
79,8640000,"0,00000914351851851852",,
80,8640000,"0,00000925925925925926",,
81,8640000,"0,00000937500000000000",,
82,8640000,"0,00000949074074074074",,
83,8640000,"0,00000960648148148148",95,
84,8640000,"0,00000972222222222222",,
85,8640000,"0,00000983796296296296",,
86,8640000,"0,00000995370370370370",,
87,8640000,"0,00001006944444444440",,
88,8640000,"0,00001018518518518520",,
89,8640000,"0,00001030092592592590",102,
90,8640000,"0,00001041666666666670",,
91,8640000,"0,00001053240740740740",,
92,8640000,"0,00001064814814814810",,
93,8640000,"0,00001076388888888890",,
94,8640000,"0,00001087962962962960",,
95,8640000,"0,00001099537037037040",,
96,8640000,"0,00001111111111111110",110,
97,8640000,"0,00001122685185185190",,
98,8640000,"0,00001134259259259260",,
99,8640000,"0,00001145833333333330",,
100,8640000,"0,00001157407407407410",,
101,8640000,"0,00001168981481481480",,
102,8640000,"0,00001180555555555560",117,
103,8640000,"0,00001192129629629630",,
104,8640000,"0,00001203703703703700",,
105,8640000,"0,00001215277777777780",,
106,8640000,"0,00001226851851851850",,
107,8640000,"0,00001238425925925930",,
108,8640000,"0,00001250000000000000",124,
109,8640000,"0,00001261574074074070",,
110,8640000,"0,00001273148148148150",,
111,8640000,"0,00001284722222222220",,
112,8640000,"0,00001296296296296300",,
113,8640000,"0,00001307870370370370",,
114,8640000,"0,00001319444444444440",,
115,8640000,"0,00001331018518518520",132,
116,8640000,"0,00001342592592592590",,
117,8640000,"0,00001354166666666670",,
118,8640000,"0,00001365740740740740",,
119,8640000,"0,00001377314814814810",,
120,8640000,"0,00001388888888888890",,
121,8640000,"0,00001400462962962960",139,
122,8640000,"0,00001412037037037040",,
123,8640000,"0,00001423611111111110",,
124,8640000,"0,00001435185185185190",,
125,8640000,"0,00001446759259259260",,
126,8640000,"0,00001458333333333330",,
127,8640000,"0,00001469907407407410",,
128,8640000,"0,00001481481481481480",147,
129,8640000,"0,00001493055555555560",,
130,8640000,"0,00001504629629629630",,
131,8640000,"0,00001516203703703700",,
132,8640000,"0,00001527777777777780",,
133,8640000,"0,00001539351851851850",,
134,8640000,"0,00001550925925925930",154,
135,8640000,"0,00001562500000000000",,
136,8640000,"0,00001574074074074070",,
137,8640000,"0,00001585648148148150",,
138,8640000,"0,00001597222222222220",,
139,8640000,"0,00001608796296296300",,
140,8640000,"0,00001620370370370370",161,
141,8640000,"0,00001631944444444440",,
142,8640000,"0,00001643518518518520",,
143,8640000,"0,00001655092592592590",,
144,8640000,"0,00001666666666666670",,
145,8640000,"0,00001678240740740740",,
146,8640000,"0,00001689814814814810",,
147,8640000,"0,00001701388888888890",169,
148,8640000,"0,00001712962962962960",,
149,8640000,"0,00001724537037037040",,
150,8640000,"0,00001736111111111110",,
151,8640000,"0,00001747685185185190",,
152,8640000,"0,00001759259259259260",,
153,8640000,"0,00001770833333333330",176,
154,8640000,"0,00001782407407407410",,
155,8640000,"0,00001793981481481480",,
156,8640000,"0,00001805555555555560",,
157,8640000,"0,00001817129629629630",,
158,8640000,"0,00001828703703703700",,
159,8640000,"0,00001840277777777780",183,
160,8640000,"0,00001851851851851850",,
161,8640000,"0,00001863425925925930",,
162,8640000,"0,00001875000000000000",,
163,8640000,"0,00001886574074074070",,
164,8640000,"0,00001898148148148150",,
