,,,477,7,,1410,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,485,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,492,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,499,7,,1476,66,375,7491,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,507,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,514,7,,1021,250,,,566,632,698,764,830,,,,,,,,,,,,,,,,,,,,,,,,
,,,522,8,1,,,,,,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,529,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,536,7,,1587,566,375,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,544,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,551,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,558,7,,1653,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,566,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,573,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,580,7,,1719,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,588,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,595,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,602,7,,1785,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,610,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,617,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,624,7,,1851,66,375,9616,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,632,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,639,7,,1271,250,,,691,757,823,889,955,,,,,,,,,,,,,,,,,,,,,,,,
,,,647,8,1,,,,,,66,66,66,66,,,,,,,,,,,,,,,,,,,,,,,,
,,,654,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,661,7,,1962,691,375,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,669,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,676,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,683,7,,2028,66,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,691,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
