Naturais,B + 97,Ciclo Perfeito,B / C,D posterior – D atual
1,97,8640000,"0,00001122685185185190","0,00001122685185185190"
2,194,8640000,"0,00002245370370370370","0,00001122685185185190"
3,291,8640000,"0,00003368055555555560","0,00001122685185185190"
4,388,8640000,"0,00004490740740740740","0,00001122685185185190"
5,485,8640000,"0,00005613425925925930","0,00001122685185185190"
6,582,8640000,"0,00006736111111111110","0,00001122685185185190"
7,679,8640000,"0,00007858796296296300","0,00001122685185185190"
8,776,8640000,"0,00008981481481481480","0,00001122685185185190"
9,873,8640000,"0,00010104166666666700","0,00001122685185185190"
10,970,8640000,"0,00011226851851851900","0,00001122685185185190"
11,1067,8640000,"0,00012349537037037000","0,00001122685185185180"
12,1164,8640000,"0,00013472222222222200","0,00001122685185185190"
13,1261,8640000,"0,00014594907407407400","0,00001122685185185180"
14,1358,8640000,"0,00015717592592592600","0,00001122685185185190"
15,1455,8640000,"0,00016840277777777800","0,00001122685185185180"
16,1552,8640000,"0,00017962962962963000","0,00001122685185185190"
17,1649,8640000,"0,00019085648148148200","0,00001122685185185180"
18,1746,8640000,"0,00020208333333333300","0,00001122685185185190"
19,1843,8640000,"0,00021331018518518500","0,00001122685185185180"
20,1940,8640000,"0,00022453703703703700","0,00001122685185185190"
21,2037,8640000,"0,00023576388888888900","0,00001122685185185190"
22,2134,8640000,"0,00024699074074074100","0,00001122685185185180"
23,2231,8640000,"0,00025821759259259300","0,00001122685185185180"
24,2328,8640000,"0,00026944444444444400","0,00001122685185185180"
25,2425,8640000,"0,00028067129629629600","0,00001122685185185190"
26,2522,8640000,"0,00029189814814814800","0,00001122685185185180"
27,2619,8640000,"0,00030312500000000000","0,00001122685185185180"
28,2716,8640000,"0,00031435185185185200","0,00001122685185185180"
29,2813,8640000,"0,00032557870370370400","0,00001122685185185190"
30,2910,8640000,"0,00033680555555555600","0,00001122685185185180"
31,3007,8640000,"0,00034803240740740700","0,00001122685185185180"
32,3104,8640000,"0,00035925925925925900","0,00001122685185185180"
33,3201,8640000,"0,00037048611111111100","0,00001122685185185190"
34,3298,8640000,"0,00038171296296296300","0,00001122685185185180"
35,3395,8640000,"0,00039293981481481500","0,00001122685185185180"
36,3492,8640000,"0,00040416666666666700","0,00001122685185185180"
37,3589,8640000,"0,00041539351851851900","0,00001122685185185190"
38,3686,8640000,"0,00042662037037037000","0,00001122685185185180"
39,3783,8640000,"0,00043784722222222200","0,00001122685185185180"
40,3880,8640000,"0,00044907407407407400","0,00001122685185185180"
41,3977,8640000,"0,00046030092592592600","0,00001122685185185190"
42,4074,8640000,"0,00047152777777777800","0,00001122685185185180"
43,4171,8640000,"0,00048275462962963000","0,00001122685185185190"
44,4268,8640000,"0,00049398148148148200","0,00001122685185185180"
45,4365,8640000,"0,00050520833333333300","0,00001122685185185190"
46,4462,8640000,"0,00051643518518518500","0,00001122685185185180"
47,4559,8640000,"0,00052766203703703700","0,00001122685185185190"
48,4656,8640000,"0,00053888888888888900","0,00001122685185185190"
49,4753,8640000,"0,00055011574074074100","0,00001122685185185180"
