Naturais,B + 32,Ciclo Perfeito,B / C,D posterior – D anterior
104,3328,8640000,"0,00038518518518518500","0,00000370370370370368"
105,3360,8640000,"0,00038888888888888900","0,00000370370370370374"
106,3392,8640000,"0,00039259259259259300","0,00000370370370370368"
107,3424,8640000,"0,00039629629629629600","0,00000370370370370374"
108,3456,8640000,"0,00040000000000000000","0,00000370370370370368"
109,3488,8640000,"0,00040370370370370400","0,00000370370370370368"
110,3520,8640000,"0,00040740740740740700","0,00000370370370370374"
111,3552,8640000,"0,00041111111111111100","0,00000370370370370368"
112,3584,8640000,"0,00041481481481481500","0,00000370370370370374"
113,3616,8640000,"0,00041851851851851900","0,00000370370370370368"
114,3648,8640000,"0,00042222222222222200","0,00000370370370370374"
115,3680,8640000,"0,00042592592592592600","0,00000370370370370368"
116,3712,8640000,"0,00042962962962963000","0,00000370370370370368"
117,3744,8640000,"0,00043333333333333300","0,00000370370370370374"
118,3776,8640000,"0,00043703703703703700","0,00000370370370370368"
119,3808,8640000,"0,00044074074074074100","0,00000370370370370374"
120,3840,8640000,"0,00044444444444444400","0,00000370370370370368"
121,3872,8640000,"0,00044814814814814800","0,00000370370370370368"
122,3904,8640000,"0,00045185185185185200","0,00000370370370370374"
123,3936,8640000,"0,00045555555555555600","0,00000370370370370368"
124,3968,8640000,"0,00045925925925925900","0,00000370370370370374"
125,4000,8640000,"0,00046296296296296300","0,00000370370370370368"
126,4032,8640000,"0,00046666666666666700","0,00000370370370370374"
127,4064,8640000,"0,00047037037037037000","0,00000370370370370368"
128,4096,8640000,"0,00047407407407407400","0,00000370370370370368"
129,4128,8640000,"0,00047777777777777800","0,00000370370370370374"
130,4160,8640000,"0,00048148148148148200","0,00000370370370370368"
131,4192,8640000,"0,00048518518518518500","0,00000370370370370368"
132,4224,8640000,"0,00048888888888888900","0,00000370370370370368"
133,4256,8640000,"0,00049259259259259300","0,00000370370370370379"
134,4288,8640000,"0,00049629629629629600","0,00000370370370370368"
135,4320,8640000,"0,00050000000000000000","0,00000370370370370368"
136,4352,8640000,"0,00050370370370370400","0,00000370370370370368"
137,4384,8640000,"0,00050740740740740700","0,00000370370370370379"
138,4416,8640000,"0,00051111111111111100","0,00000370370370370368"
139,4448,8640000,"0,00051481481481481500","0,00000370370370370368"
140,4480,8640000,"0,00051851851851851900","0,00000370370370370368"
141,4512,8640000,"0,00052222222222222200","0,00000370370370370368"
142,4544,8640000,"0,00052592592592592600","0,00000370370370370379"
143,4576,8640000,"0,00052962962962963000","0,00000370370370370368"
144,4608,8640000,"0,00053333333333333300","0,00000370370370370368"
145,4640,8640000,"0,00053703703703703700","0,00000370370370370368"
146,4672,8640000,"0,00054074074074074100","0,00000370370370370368"
147,4704,8640000,"0,00054444444444444400","0,00000370370370370379"
148,4736,8640000,"0,00054814814814814800","0,00000370370370370368"
149,4768,8640000,"0,00055185185185185200","0,00000370370370370368"
150,4800,8640000,"0,00055555555555555600","0,00000370370370370368"
151,4832,8640000,"0,00055925925925925900","0,00000370370370370368"
152,4864,8640000,"0,00056296296296296300","0,00000370370370370379"
153,4896,8640000,"0,00056666666666666700","0,00000370370370370368"
154,4928,8640000,"0,00057037037037037000","0,00000370370370370368"
155,4960,8640000,"0,00057407407407407400","0,00000370370370370368"
156,4992,8640000,"0,00057777777777777800","0,00000370370370370368"
157,5024,8640000,"0,00058148148148148100","0,00000370370370370379"
158,5056,8640000,"0,00058518518518518500","0,00000370370370370368"
159,5088,8640000,"0,00058888888888888900","0,00000370370370370368"
160,5120,8640000,"0,00059259259259259300","0,00000370370370370368"
161,5152,8640000,"0,00059629629629629600","0,00000370370370370368"
162,5184,8640000,"0,00060000000000000000","0,00000370370370370379"
163,5216,8640000,"0,00060370370370370400","0,00000370370370370368"
164,5248,8640000,"0,00060740740740740700","0,00000370370370370368"
165,5280,8640000,"0,00061111111111111100","0,00000370370370370368"
166,5312,8640000,"0,00061481481481481500","0,00000370370370370379"
167,5344,8640000,"0,00061851851851851900","0,00000370370370370368"
168,5376,8640000,"0,00062222222222222200","0,00000370370370370368"
169,5408,8640000,"0,00062592592592592600","0,00000370370370370368"
170,5440,8640000,"0,00062962962962963000","0,00000370370370370368"
171,5472,8640000,"0,00063333333333333300","0,00000370370370370379"
172,5504,8640000,"0,00063703703703703700","0,00000370370370370368"
173,5536,8640000,"0,00064074074074074100","0,00000370370370370368"
174,5568,8640000,"0,00064444444444444400","0,00000370370370370368"
175,5600,8640000,"0,00064814814814814800","0,00000370370370370368"
176,5632,8640000,"0,00065185185185185200","0,00000370370370370379"
177,5664,8640000,"0,00065555555555555600","0,00000370370370370368"
178,5696,8640000,"0,00065925925925925900","0,00000370370370370368"
179,5728,8640000,"0,00066296296296296300","0,00000370370370370368"
180,5760,8640000,"0,00066666666666666700","0,00000370370370370368"
181,5792,8640000,"0,00067037037037037000","0,00000370370370370379"
182,5824,8640000,"0,00067407407407407400","0,00000370370370370368"
183,5856,8640000,"0,00067777777777777800","0,00000370370370370368"
184,5888,8640000,"0,00068148148148148200","0,00000370370370370368"
185,5920,8640000,"0,00068518518518518500","0,00000370370370370368"
186,5952,8640000,"0,00068888888888888900","0,00000370370370370379"
187,5984,8640000,"0,00069259259259259300","0,00000370370370370368"
188,6016,8640000,"0,00069629629629629600","0,00000370370370370368"
189,6048,8640000,"0,00070000000000000000","0,00000370370370370368"
190,6080,8640000,"0,00070370370370370400","0,00000370370370370368"
191,6112,8640000,"0,00070740740740740700","0,00000370370370370379"
192,6144,8640000,"0,00071111111111111100","0,00000370370370370368"
193,6176,8640000,"0,00071481481481481500","0,00000370370370370368"
194,6208,8640000,"0,00071851851851851900","0,00000370370370370368"
195,6240,8640000,"0,00072222222222222200","0,00000370370370370379"
196,6272,8640000,"0,00072592592592592600","0,00000370370370370368"
197,6304,8640000,"0,00072962962962963000","0,00000370370370370368"
198,6336,8640000,"0,00073333333333333300","0,00000370370370370368"
199,6368,8640000,"0,00073703703703703700","0,00000370370370370368"
200,6400,8640000,"0,00074074074074074100","0,00000370370370370379"
201,6432,8640000,"0,00074444444444444500","0,00000370370370370368"
202,6464,8640000,"0,00074814814814814800","0,00000370370370370368"
203,6496,8640000,"0,00075185185185185200","0,00000370370370370368"
204,6528,8640000,"0,00075555555555555600","0,00000370370370370368"
205,6560,8640000,"0,00075925925925925900","0,00000370370370370379"
206,6592,8640000,"0,00076296296296296300","0,00000370370370370368"
207,6624,8640000,"0,00076666666666666700","0,00000370370370370368"
208,6656,8640000,"0,00077037037037037000","0,00000370370370370368"
209,6688,8640000,"0,00077407407407407400","0,00000370370370370368"
210,6720,8640000,"0,00077777777777777800","0,00000370370370370379"
211,6752,8640000,"0,00078148148148148200","0,00000370370370370368"
212,6784,8640000,"0,00078518518518518500","0,00000370370370370368"
213,6816,8640000,"0,00078888888888888900","0,00000370370370370368"
214,6848,8640000,"0,00079259259259259300","0,00000370370370370368"
215,6880,8640000,"0,00079629629629629600","0,00000370370370370379"
216,6912,8640000,"0,00080000000000000000","0,00000370370370370368"
217,6944,8640000,"0,00080370370370370400","0,00000370370370370368"
218,6976,8640000,"0,00080740740740740700","0,00000370370370370368"
219,7008,8640000,"0,00081111111111111100","0,00000370370370370368"
220,7040,8640000,"0,00081481481481481500","0,00000370370370370379"
221,7072,8640000,"0,00081851851851851900","0,00000370370370370368"
222,7104,8640000,"0,00082222222222222200","0,00000370370370370368"
223,7136,8640000,"0,00082592592592592600","0,00000370370370370368"
224,7168,8640000,"0,00082962962962963000","0,00000370370370370379"
225,7200,8640000,"0,00083333333333333300","0,00000370370370370368"
226,7232,8640000,"0,00083703703703703700","0,00000370370370370368"
227,7264,8640000,"0,00084074074074074100","0,00000370370370370368"
228,7296,8640000,"0,00084444444444444400","0,00000370370370370368"
229,7328,8640000,"0,00084814814814814800","0,00000370370370370379"
230,7360,8640000,"0,00085185185185185200","0,00000370370370370368"
231,7392,8640000,"0,00085555555555555600","0,00000370370370370368"
232,7424,8640000,"0,00085925925925925900","0,00000370370370370368"
233,7456,8640000,"0,00086296296296296300","0,00000370370370370368"
234,7488,8640000,"0,00086666666666666700","0,00000370370370370379"
235,7520,8640000,"0,00087037037037037000","0,00000370370370370368"
236,7552,8640000,"0,00087407407407407400","0,00000370370370370368"
