Naturais,B + 96,Ciclo Perfeito,B / C,D posterior – D atual
1,96,8640000,"0,00001111111111111110","0,00001111111111111110"
2,192,8640000,"0,00002222222222222220","0,00001111111111111110"
3,288,8640000,"0,00003333333333333330","0,00001111111111111110"
4,384,8640000,"0,00004444444444444450","0,00001111111111111110"
5,480,8640000,"0,00005555555555555560","0,00001111111111111110"
6,576,8640000,"0,00006666666666666670","0,00001111111111111110"
7,672,8640000,"0,00007777777777777780","0,00001111111111111110"
8,768,8640000,"0,00008888888888888890","0,00001111111111111110"
9,864,8640000,"0,00010000000000000000","0,00001111111111111110"
10,960,8640000,"0,00011111111111111100","0,00001111111111111110"
11,1056,8640000,"0,00012222222222222200","0,00001111111111111110"
12,1152,8640000,"0,00013333333333333300","0,00001111111111111110"
13,1248,8640000,"0,00014444444444444400","0,00001111111111111110"
14,1344,8640000,"0,00015555555555555600","0,00001111111111111110"
15,1440,8640000,"0,00016666666666666700","0,00001111111111111110"
16,1536,8640000,"0,00017777777777777800","0,00001111111111111110"
17,1632,8640000,"0,00018888888888888900","0,00001111111111111110"
18,1728,8640000,"0,00020000000000000000","0,00001111111111111110"
19,1824,8640000,"0,00021111111111111100","0,00001111111111111110"
20,1920,8640000,"0,00022222222222222200","0,00001111111111111110"
21,2016,8640000,"0,00023333333333333300","0,00001111111111111110"
22,2112,8640000,"0,00024444444444444400","0,00001111111111111120"
23,2208,8640000,"0,00025555555555555600","0,00001111111111111110"
24,2304,8640000,"0,00026666666666666700","0,00001111111111111110"
25,2400,8640000,"0,00027777777777777800","0,00001111111111111110"
26,2496,8640000,"0,00028888888888888900","0,00001111111111111110"
27,2592,8640000,"0,00030000000000000000","0,00001111111111111120"
28,2688,8640000,"0,00031111111111111100","0,00001111111111111110"
29,2784,8640000,"0,00032222222222222200","0,00001111111111111110"
30,2880,8640000,"0,00033333333333333300","0,00001111111111111110"
31,2976,8640000,"0,00034444444444444400","0,00001111111111111120"
32,3072,8640000,"0,00035555555555555600","0,00001111111111111110"
33,3168,8640000,"0,00036666666666666700","0,00001111111111111110"
34,3264,8640000,"0,00037777777777777800","0,00001111111111111110"
35,3360,8640000,"0,00038888888888888900","0,00001111111111111120"
36,3456,8640000,"0,00040000000000000000","0,00001111111111111110"
37,3552,8640000,"0,00041111111111111100","0,00001111111111111110"
38,3648,8640000,"0,00042222222222222200","0,00001111111111111110"
39,3744,8640000,"0,00043333333333333300","0,00001111111111111120"
40,3840,8640000,"0,00044444444444444400","0,00001111111111111110"
41,3936,8640000,"0,00045555555555555600","0,00001111111111111110"
42,4032,8640000,"0,00046666666666666700","0,00001111111111111110"
43,4128,8640000,"0,00047777777777777800","0,00001111111111111110"
44,4224,8640000,"0,00048888888888888900","0,00001111111111111120"
45,4320,8640000,"0,00050000000000000000","0,00001111111111111120"
46,4416,8640000,"0,00051111111111111100","0,00001111111111111100"
47,4512,8640000,"0,00052222222222222200","0,00001111111111111120"
48,4608,8640000,"0,00053333333333333300","0,00001111111111111100"
49,4704,8640000,"0,00054444444444444400","0,00001111111111111120"
50,4800,8640000,"0,00055555555555555600","0,00001111111111111120"
51,4896,8640000,"0,00056666666666666700","0,00001111111111111100"
52,4992,8640000,"0,00057777777777777800","0,00001111111111111120"
53,5088,8640000,"0,00058888888888888900","0,00001111111111111100"
54,5184,8640000,"0,00060000000000000000","0,00001111111111111120"
55,5280,8640000,"0,00061111111111111100","0,00001111111111111120"
56,5376,8640000,"0,00062222222222222200","0,00001111111111111100"
57,5472,8640000,"0,00063333333333333300","0,00001111111111111120"
