Naturais,B + 55,Ciclo Perfeito,B / C,D posterior – D atual
1,55,8640000,"0,00000636574074074074","0,00000636574074074074"
2,110,8640000,"0,00001273148148148150","0,00000636574074074074"
3,165,8640000,"0,00001909722222222220","0,00000636574074074074"
4,220,8640000,"0,00002546296296296300","0,00000636574074074074"
5,275,8640000,"0,00003182870370370370","0,00000636574074074074"
6,330,8640000,"0,00003819444444444440","0,00000636574074074074"
7,385,8640000,"0,00004456018518518520","0,00000636574074074074"
8,440,8640000,"0,00005092592592592590","0,00000636574074074074"
9,495,8640000,"0,00005729166666666670","0,00000636574074074074"
10,550,8640000,"0,00006365740740740740","0,00000636574074074074"
11,605,8640000,"0,00007002314814814810","0,00000636574074074074"
12,660,8640000,"0,00007638888888888890","0,00000636574074074074"
13,715,8640000,"0,00008275462962962960","0,00000636574074074074"
14,770,8640000,"0,00008912037037037040","0,00000636574074074074"
15,825,8640000,"0,00009548611111111110","0,00000636574074074073"
16,880,8640000,"0,00010185185185185200","0,00000636574074074074"
17,935,8640000,"0,00010821759259259300","0,00000636574074074074"
18,990,8640000,"0,00011458333333333300","0,00000636574074074074"
19,1045,8640000,"0,00012094907407407400","0,00000636574074074073"
20,1100,8640000,"0,00012731481481481500","0,00000636574074074076"
21,1155,8640000,"0,00013368055555555600","0,00000636574074074073"
22,1210,8640000,"0,00014004629629629600","0,00000636574074074076"
23,1265,8640000,"0,00014641203703703700","0,00000636574074074073"
24,1320,8640000,"0,00015277777777777800","0,00000636574074074076"
25,1375,8640000,"0,00015914351851851900","0,00000636574074074073"
26,1430,8640000,"0,00016550925925925900","0,00000636574074074073"
27,1485,8640000,"0,00017187500000000000","0,00000636574074074076"
28,1540,8640000,"0,00017824074074074100","0,00000636574074074073"
29,1595,8640000,"0,00018460648148148100","0,00000636574074074076"
30,1650,8640000,"0,00019097222222222200","0,00000636574074074073"
31,1705,8640000,"0,00019733796296296300","0,00000636574074074073"
32,1760,8640000,"0,00020370370370370400","0,00000636574074074076"
33,1815,8640000,"0,00021006944444444400","0,00000636574074074073"
34,1870,8640000,"0,00021643518518518500","0,00000636574074074076"
35,1925,8640000,"0,00022280092592592600","0,00000636574074074073"
36,1980,8640000,"0,00022916666666666700","0,00000636574074074076"
37,2035,8640000,"0,00023553240740740700","0,00000636574074074073"
38,2090,8640000,"0,00024189814814814800","0,00000636574074074076"
39,2145,8640000,"0,00024826388888888900","0,00000636574074074070"
40,2200,8640000,"0,00025462962962963000","0,00000636574074074076"
41,2255,8640000,"0,00026099537037037000","0,00000636574074074076"
42,2310,8640000,"0,00026736111111111100","0,00000636574074074076"
43,2365,8640000,"0,00027372685185185200","0,00000636574074074070"
44,2420,8640000,"0,00028009259259259300","0,00000636574074074076"
45,2475,8640000,"0,00028645833333333300","0,00000636574074074076"
46,2530,8640000,"0,00029282407407407400","0,00000636574074074070"
47,2585,8640000,"0,00029918981481481500","0,00000636574074074076"
48,2640,8640000,"0,00030555555555555600","0,00000636574074074076"
49,2695,8640000,"0,00031192129629629600","0,00000636574074074076"
50,2750,8640000,"0,00031828703703703700","0,00000636574074074070"
51,2805,8640000,"0,00032465277777777800","0,00000636574074074076"
52,2860,8640000,"0,00033101851851851900","0,00000636574074074076"
53,2915,8640000,"0,00033738425925925900","0,00000636574074074070"
54,2970,8640000,"0,00034375000000000000","0,00000636574074074076"
55,3025,8640000,"0,00035011574074074100","0,00000636574074074076"
56,3080,8640000,"0,00035648148148148200","0,00000636574074074070"
57,3135,8640000,"0,00036284722222222200","0,00000636574074074076"
58,3190,8640000,"0,00036921296296296300","0,00000636574074074076"
59,3245,8640000,"0,00037557870370370400","0,00000636574074074076"
60,3300,8640000,"0,00038194444444444400","0,00000636574074074070"
61,3355,8640000,"0,00038831018518518500","0,00000636574074074076"
62,3410,8640000,"0,00039467592592592600","0,00000636574074074076"
63,3465,8640000,"0,00040104166666666700","0,00000636574074074070"
64,3520,8640000,"0,00040740740740740700","0,00000636574074074076"
65,3575,8640000,"0,00041377314814814800","0,00000636574074074076"
66,3630,8640000,"0,00042013888888888900","0,00000636574074074076"
67,3685,8640000,"0,00042650462962963000","0,00000636574074074070"
68,3740,8640000,"0,00043287037037037000","0,00000636574074074076"
69,3795,8640000,"0,00043923611111111100","0,00000636574074074076"
70,3850,8640000,"0,00044560185185185200","0,00000636574074074070"
71,3905,8640000,"0,00045196759259259300","0,00000636574074074076"
72,3960,8640000,"0,00045833333333333300","0,00000636574074074076"
73,4015,8640000,"0,00046469907407407400","0,00000636574074074076"
74,4070,8640000,"0,00047106481481481500","0,00000636574074074070"
75,4125,8640000,"0,00047743055555555600","0,00000636574074074076"
76,4180,8640000,"0,00048379629629629600","0,00000636574074074070"
77,4235,8640000,"0,00049016203703703700","0,00000636574074074081"
78,4290,8640000,"0,00049652777777777800","0,00000636574074074070"
79,4345,8640000,"0,00050289351851851900","0,00000636574074074070"
80,4400,8640000,"0,00050925925925925900","0,00000636574074074081"
81,4455,8640000,"0,00051562500000000000","0,00000636574074074070"
82,4510,8640000,"0,00052199074074074100","0,00000636574074074070"
83,4565,8640000,"0,00052835648148148100","0,00000636574074074081"
84,4620,8640000,"0,00053472222222222200","0,00000636574074074070"
85,4675,8640000,"0,00054108796296296300","0,00000636574074074081"
86,4730,8640000,"0,00054745370370370400","0,00000636574074074070"
87,4785,8640000,"0,00055381944444444500","0,00000636574074074070"
88,4840,8640000,"0,00056018518518518500","0,00000636574074074081"
89,4895,8640000,"0,00056655092592592600","0,00000636574074074070"
90,4950,8640000,"0,00057291666666666700","0,00000636574074074070"
91,5005,8640000,"0,00057928240740740700","0,00000636574074074081"
92,5060,8640000,"0,00058564814814814800","0,00000636574074074070"
93,5115,8640000,"0,00059201388888888900","0,00000636574074074070"
94,5170,8640000,"0,00059837962962963000","0,00000636574074074081"
95,5225,8640000,"0,00060474537037037000","0,00000636574074074070"
96,5280,8640000,"0,00061111111111111100","0,00000636574074074070"
97,5335,8640000,"0,00061747685185185200","0,00000636574074074081"
98,5390,8640000,"0,00062384259259259300","0,00000636574074074070"
99,5445,8640000,"0,00063020833333333300","0,00000636574074074081"
100,5500,8640000,"0,00063657407407407400","0,00000636574074074070"
101,5555,8640000,"0,00064293981481481500","0,00000636574074074070"
102,5610,8640000,"0,00064930555555555600","0,00000636574074074081"
103,5665,8640000,"0,00065567129629629600","0,00000636574074074070"
104,5720,8640000,"0,00066203703703703700","0,00000636574074074070"
105,5775,8640000,"0,00066840277777777800","0,00000636574074074081"
106,5830,8640000,"0,00067476851851851900","0,00000636574074074070"
107,5885,8640000,"0,00068113425925925900","0,00000636574074074070"
108,5940,8640000,"0,00068750000000000000","0,00000636574074074081"
109,5995,8640000,"0,00069386574074074100","0,00000636574074074070"
110,6050,8640000,"0,00070023148148148200","0,00000636574074074070"
111,6105,8640000,"0,00070659722222222200","0,00000636574074074081"
112,6160,8640000,"0,00071296296296296300","0,00000636574074074070"
113,6215,8640000,"0,00071932870370370400","0,00000636574074074070"
114,6270,8640000,"0,00072569444444444400","0,00000636574074074081"
115,6325,8640000,"0,00073206018518518500","0,00000636574074074070"
116,6380,8640000,"0,00073842592592592600","0,00000636574074074081"
117,6435,8640000,"0,00074479166666666700","0,00000636574074074070"
118,6490,8640000,"0,00075115740740740700","0,00000636574074074070"
119,6545,8640000,"0,00075752314814814800","0,00000636574074074081"
120,6600,8640000,"0,00076388888888888900","0,00000636574074074070"
121,6655,8640000,"0,00077025462962963000","0,00000636574074074070"
122,6710,8640000,"0,00077662037037037000","0,00000636574074074081"
123,6765,8640000,"0,00078298611111111100","0,00000636574074074070"
124,6820,8640000,"0,00078935185185185200","0,00000636574074074070"
125,6875,8640000,"0,00079571759259259300","0,00000636574074074081"
126,6930,8640000,"0,00080208333333333300","0,00000636574074074070"
127,6985,8640000,"0,00080844907407407400","0,00000636574074074070"
128,7040,8640000,"0,00081481481481481500","0,00000636574074074081"
129,7095,8640000,"0,00082118055555555600","0,00000636574074074070"
130,7150,8640000,"0,00082754629629629600","0,00000636574074074081"
131,7205,8640000,"0,00083391203703703700","0,00000636574074074070"
132,7260,8640000,"0,00084027777777777800","0,00000636574074074070"
133,7315,8640000,"0,00084664351851851900","0,00000636574074074081"
134,7370,8640000,"0,00085300925925925900","0,00000636574074074070"
135,7425,8640000,"0,00085937500000000000","0,00000636574074074070"
136,7480,8640000,"0,00086574074074074100","0,00000636574074074081"
137,7535,8640000,"0,00087210648148148200","0,00000636574074074070"
138,7590,8640000,"0,00087847222222222200","0,00000636574074074070"
139,7645,8640000,"0,00088483796296296300","0,00000636574074074081"
140,7700,8640000,"0,00089120370370370400","0,00000636574074074070"
141,7755,8640000,"0,00089756944444444400","0,00000636574074074070"
142,7810,8640000,"0,00090393518518518500","0,00000636574074074081"
143,7865,8640000,"0,00091030092592592600","0,00000636574074074070"
144,7920,8640000,"0,00091666666666666700","0,00000636574074074081"
145,7975,8640000,"0,00092303240740740800","0,00000636574074074070"
146,8030,8640000,"0,00092939814814814800","0,00000636574074074070"
147,8085,8640000,"0,00093576388888888900","0,00000636574074074081"
148,8140,8640000,"0,00094212962962963000","0,00000636574074074070"
149,8195,8640000,"0,00094849537037037000","0,00000636574074074070"
150,8250,8640000,"0,00095486111111111100","0,00000636574074074081"
151,8305,8640000,"0,00096122685185185200","0,00000636574074074070"
152,8360,8640000,"0,00096759259259259300","0,00000636574074074070"
153,8415,8640000,"0,00097395833333333300","0,00000636574074074070"
154,8470,8640000,"0,00098032407407407400","0,00000636574074074081"
155,8525,8640000,"0,00098668981481481500","0,00000636574074074081"
156,8580,8640000,"0,00099305555555555600","0,00000636574074074059"
157,8635,8640000,"0,00099942129629629600","0,00000636574074074081"
158,8690,8640000,"0,00100578703703704000","0,00000636574074074081"
159,8745,8640000,"0,00101215277777778000","0,00000636574074074059"
160,8800,8640000,"0,00101851851851852000","0,00000636574074074081"
161,8855,8640000,"0,00102488425925926000","0,00000636574074074081"
162,8910,8640000,"0,00103125000000000000","0,00000636574074074059"
163,8965,8640000,"0,00103761574074074000","0,00000636574074074081"
164,9020,8640000,"0,00104398148148148000","0,00000636574074074081"
165,9075,8640000,"0,00105034722222222000","0,00000636574074074059"
166,9130,8640000,"0,00105671296296296000","0,00000636574074074081"
167,9185,8640000,"0,00106307870370370000","0,00000636574074074081"
168,9240,8640000,"0,00106944444444444000","0,00000636574074074081"
169,9295,8640000,"0,00107581018518519000","0,00000636574074074059"
170,9350,8640000,"0,00108217592592593000","0,00000636574074074081"
171,9405,8640000,"0,00108854166666667000","0,00000636574074074081"
172,9460,8640000,"0,00109490740740741000","0,00000636574074074059"
173,9515,8640000,"0,00110127314814815000","0,00000636574074074081"
174,9570,8640000,"0,00110763888888889000","0,00000636574074074081"
175,9625,8640000,"0,00111400462962963000","0,00000636574074074059"
176,9680,8640000,"0,00112037037037037000","0,00000636574074074081"
177,9735,8640000,"0,00112673611111111000","0,00000636574074074081"
178,9790,8640000,"0,00113310185185185000","0,00000636574074074059"
179,9845,8640000,"0,00113946759259259000","0,00000636574074074081"
180,9900,8640000,"0,00114583333333333000","0,00000636574074074081"
181,9955,8640000,"0,00115219907407407000","0,00000636574074074059"
182,10010,8640000,"0,00115856481481481000","0,00000636574074074081"
183,10065,8640000,"0,00116493055555556000","0,00000636574074074081"
184,10120,8640000,"0,00117129629629630000","0,00000636574074074059"
185,10175,8640000,"0,00117766203703704000","0,00000636574074074081"
186,10230,8640000,"0,00118402777777778000","0,00000636574074074081"
187,10285,8640000,"0,00119039351851852000","0,00000636574074074059"
188,10340,8640000,"0,00119675925925926000","0,00000636574074074081"
189,10395,8640000,"0,00120312500000000000","0,00000636574074074081"
190,10450,8640000,"0,00120949074074074000","0,00000636574074074059"
191,10505,8640000,"0,00121585648148148000","0,00000636574074074081"
192,10560,8640000,"0,00122222222222222000","0,00000636574074074081"
193,10615,8640000,"0,00122858796296296000","0,00000636574074074059"
194,10670,8640000,"0,00123495370370370000","0,00000636574074074081"
195,10725,8640000,"0,00124131944444444000","0,00000636574074074081"
196,10780,8640000,"0,00124768518518519000","0,00000636574074074059"
197,10835,8640000,"0,00125405092592593000","0,00000636574074074081"
198,10890,8640000,"0,00126041666666667000","0,00000636574074074081"
199,10945,8640000,"0,00126678240740741000","0,00000636574074074081"
200,11000,8640000,"0,00127314814814815000","0,00000636574074074059"
201,11055,8640000,"0,00127951388888889000","0,00000636574074074081"
202,11110,8640000,"0,00128587962962963000","0,00000636574074074081"
203,11165,8640000,"0,00129224537037037000","0,00000636574074074059"
204,11220,8640000,"0,00129861111111111000","0,00000636574074074081"
205,11275,8640000,"0,00130497685185185000","0,00000636574074074081"
206,11330,8640000,"0,00131134259259259000","0,00000636574074074059"
207,11385,8640000,"0,00131770833333333000","0,00000636574074074081"
208,11440,8640000,"0,00132407407407407000","0,00000636574074074081"
209,11495,8640000,"0,00133043981481482000","0,00000636574074074059"
210,11550,8640000,"0,00133680555555556000","0,00000636574074074081"
211,11605,8640000,"0,00134317129629630000","0,00000636574074074081"
212,11660,8640000,"0,00134953703703704000","0,00000636574074074059"
213,11715,8640000,"0,00135590277777778000","0,00000636574074074081"
214,11770,8640000,"0,00136226851851852000","0,00000636574074074081"
215,11825,8640000,"0,00136863425925926000","0,00000636574074074059"
216,11880,8640000,"0,00137500000000000000","0,00000636574074074081"
217,11935,8640000,"0,00138136574074074000","0,00000636574074074081"
218,11990,8640000,"0,00138773148148148000","0,00000636574074074059"
219,12045,8640000,"0,00139409722222222000","0,00000636574074074081"
220,12100,8640000,"0,00140046296296296000","0,00000636574074074081"
221,12155,8640000,"0,00140682870370370000","0,00000636574074074059"
222,12210,8640000,"0,00141319444444444000","0,00000636574074074081"
223,12265,8640000,"0,00141956018518519000","0,00000636574074074081"
224,12320,8640000,"0,00142592592592593000","0,00000636574074074059"
225,12375,8640000,"0,00143229166666667000","0,00000636574074074081"
226,12430,8640000,"0,00143865740740741000","0,00000636574074074081"
227,12485,8640000,"0,00144502314814815000","0,00000636574074074059"
228,12540,8640000,"0,00145138888888889000","0,00000636574074074081"
229,12595,8640000,"0,00145775462962963000","0,00000636574074074081"
230,12650,8640000,"0,00146412037037037000","0,00000636574074074081"
231,12705,8640000,"0,00147048611111111000","0,00000636574074074059"
232,12760,8640000,"0,00147685185185185000","0,00000636574074074081"
233,12815,8640000,"0,00148321759259259000","0,00000636574074074081"
