Naturais,B + 16,Ciclo Perfeito,B / C,D posterior – D atual
1,16,8640000,"0,00000185185185185185","0,00000185185185185185"
2,32,8640000,"0,00000370370370370370","0,00000185185185185185"
3,48,8640000,"0,00000555555555555556","0,00000185185185185185"
4,64,8640000,"0,00000740740740740741","0,00000185185185185185"
5,80,8640000,"0,00000925925925925926","0,00000185185185185185"
6,96,8640000,"0,00001111111111111110","0,00000185185185185185"
7,112,8640000,"0,00001296296296296300","0,00000185185185185185"
8,128,8640000,"0,00001481481481481480","0,00000185185185185185"
9,144,8640000,"0,00001666666666666670","0,00000185185185185185"
10,160,8640000,"0,00001851851851851850","0,00000185185185185185"
11,176,8640000,"0,00002037037037037040","0,00000185185185185185"
12,192,8640000,"0,00002222222222222220","0,00000185185185185185"
13,208,8640000,"0,00002407407407407410","0,00000185185185185185"
14,224,8640000,"0,00002592592592592590","0,00000185185185185185"
15,240,8640000,"0,00002777777777777780","0,00000185185185185185"
16,256,8640000,"0,00002962962962962960","0,00000185185185185185"
17,272,8640000,"0,00003148148148148150","0,00000185185185185185"
18,288,8640000,"0,00003333333333333330","0,00000185185185185185"
19,304,8640000,"0,00003518518518518520","0,00000185185185185185"
20,320,8640000,"0,00003703703703703700","0,00000185185185185185"
21,336,8640000,"0,00003888888888888890","0,00000185185185185185"
22,352,8640000,"0,00004074074074074070","0,00000185185185185185"
23,368,8640000,"0,00004259259259259260","0,00000185185185185185"
24,384,8640000,"0,00004444444444444440","0,00000185185185185185"
25,400,8640000,"0,00004629629629629630","0,00000185185185185185"
26,416,8640000,"0,00004814814814814820","0,00000185185185185185"
27,432,8640000,"0,00005000000000000000","0,00000185185185185185"
28,448,8640000,"0,00005185185185185190","0,00000185185185185185"
29,464,8640000,"0,00005370370370370370","0,00000185185185185185"
30,480,8640000,"0,00005555555555555560","0,00000185185185185185"
31,496,8640000,"0,00005740740740740740","0,00000185185185185185"
32,512,8640000,"0,00005925925925925930","0,00000185185185185185"
33,528,8640000,"0,00006111111111111110","0,00000185185185185185"
34,544,8640000,"0,00006296296296296300","0,00000185185185185185"
35,560,8640000,"0,00006481481481481480","0,00000185185185185185"
36,576,8640000,"0,00006666666666666670","0,00000185185185185185"
37,592,8640000,"0,00006851851851851850","0,00000185185185185184"
38,608,8640000,"0,00007037037037037040","0,00000185185185185185"
39,624,8640000,"0,00007222222222222220","0,00000185185185185185"
40,640,8640000,"0,00007407407407407410","0,00000185185185185185"
41,656,8640000,"0,00007592592592592590","0,00000185185185185185"
42,672,8640000,"0,00007777777777777780","0,00000185185185185185"
43,688,8640000,"0,00007962962962962960","0,00000185185185185184"
44,704,8640000,"0,00008148148148148150","0,00000185185185185185"
45,720,8640000,"0,00008333333333333330","0,00000185185185185185"
46,736,8640000,"0,00008518518518518520","0,00000185185185185185"
47,752,8640000,"0,00008703703703703700","0,00000185185185185185"
48,768,8640000,"0,00008888888888888890","0,00000185185185185185"
49,784,8640000,"0,00009074074074074080","0,00000185185185185184"
50,800,8640000,"0,00009259259259259260","0,00000185185185185185"
51,816,8640000,"0,00009444444444444440","0,00000185185185185185"
52,832,8640000,"0,00009629629629629630","0,00000185185185185185"
53,848,8640000,"0,00009814814814814820","0,00000185185185185185"
54,864,8640000,"0,00010000000000000000","0,00000185185185185184"
55,880,8640000,"0,00010185185185185200","0,00000185185185185185"
56,896,8640000,"0,00010370370370370400","0,00000185185185185185"
57,912,8640000,"0,00010555555555555600","0,00000185185185185185"
58,928,8640000,"0,00010740740740740700","0,00000185185185185185"
59,944,8640000,"0,00010925925925925900","0,00000185185185185185"
60,960,8640000,"0,00011111111111111100","0,00000185185185185184"
61,976,8640000,"0,00011296296296296300","0,00000185185185185185"
62,992,8640000,"0,00011481481481481500","0,00000185185185185185"
63,1008,8640000,"0,00011666666666666700","0,00000185185185185185"
64,1024,8640000,"0,00011851851851851900","0,00000185185185185185"
65,1040,8640000,"0,00012037037037037000","0,00000185185185185184"
66,1056,8640000,"0,00012222222222222200","0,00000185185185185187"
67,1072,8640000,"0,00012407407407407400","0,00000185185185185184"
68,1088,8640000,"0,00012592592592592600","0,00000185185185185187"
69,1104,8640000,"0,00012777777777777800","0,00000185185185185184"
70,1120,8640000,"0,00012962962962963000","0,00000185185185185184"
71,1136,8640000,"0,00013148148148148100","0,00000185185185185187"
72,1152,8640000,"0,00013333333333333300","0,00000185185185185184"
73,1168,8640000,"0,00013518518518518500","0,00000185185185185187"
74,1184,8640000,"0,00013703703703703700","0,00000185185185185184"
75,1200,8640000,"0,00013888888888888900","0,00000185185185185184"
76,1216,8640000,"0,00014074074074074100","0,00000185185185185187"
77,1232,8640000,"0,00014259259259259300","0,00000185185185185184"
78,1248,8640000,"0,00014444444444444400","0,00000185185185185187"
79,1264,8640000,"0,00014629629629629600","0,00000185185185185184"
80,1280,8640000,"0,00014814814814814800","0,00000185185185185184"
81,1296,8640000,"0,00015000000000000000","0,00000185185185185187"
82,1312,8640000,"0,00015185185185185200","0,00000185185185185184"
83,1328,8640000,"0,00015370370370370400","0,00000185185185185187"
