Naturais,B + 29,Ciclo Perfeito,B / C,D posterior – D atual
1,29,8640000,"0,00000335648148148148","0,00000335648148148148"
2,58,8640000,"0,00000671296296296296","0,00000335648148148148"
3,87,8640000,"0,00001006944444444450","0,00000335648148148148"
4,116,8640000,"0,00001342592592592590","0,00000335648148148148"
5,145,8640000,"0,00001678240740740740","0,00000335648148148148"
6,174,8640000,"0,00002013888888888890","0,00000335648148148148"
7,203,8640000,"0,00002349537037037040","0,00000335648148148148"
8,232,8640000,"0,00002685185185185190","0,00000335648148148148"
9,261,8640000,"0,00003020833333333330","0,00000335648148148148"
10,290,8640000,"0,00003356481481481480","0,00000335648148148148"
11,319,8640000,"0,00003692129629629630","0,00000335648148148148"
12,348,8640000,"0,00004027777777777780","0,00000335648148148148"
13,377,8640000,"0,00004363425925925930","0,00000335648148148148"
14,406,8640000,"0,00004699074074074070","0,00000335648148148148"
15,435,8640000,"0,00005034722222222220","0,00000335648148148148"
16,464,8640000,"0,00005370370370370370","0,00000335648148148148"
17,493,8640000,"0,00005706018518518520","0,00000335648148148148"
18,522,8640000,"0,00006041666666666670","0,00000335648148148148"
19,551,8640000,"0,00006377314814814810","0,00000335648148148149"
20,580,8640000,"0,00006712962962962960","0,00000335648148148148"
21,609,8640000,"0,00007048611111111110","0,00000335648148148149"
22,638,8640000,"0,00007384259259259260","0,00000335648148148148"
23,667,8640000,"0,00007719907407407410","0,00000335648148148149"
24,696,8640000,"0,00008055555555555560","0,00000335648148148148"
25,725,8640000,"0,00008391203703703700","0,00000335648148148149"
26,754,8640000,"0,00008726851851851850","0,00000335648148148148"
27,783,8640000,"0,00009062500000000000","0,00000335648148148149"
28,812,8640000,"0,00009398148148148150","0,00000335648148148148"
29,841,8640000,"0,00009733796296296300","0,00000335648148148149"
30,870,8640000,"0,00010069444444444400","0,00000335648148148148"
31,899,8640000,"0,00010405092592592600","0,00000335648148148149"
32,928,8640000,"0,00010740740740740700","0,00000335648148148148"
33,957,8640000,"0,00011076388888888900","0,00000335648148148149"
34,986,8640000,"0,00011412037037037000","0,00000335648148148148"
35,1015,8640000,"0,00011747685185185200","0,00000335648148148149"
36,1044,8640000,"0,00012083333333333300","0,00000335648148148149"
37,1073,8640000,"0,00012418981481481500","0,00000335648148148146"
38,1102,8640000,"0,00012754629629629600","0,00000335648148148149"
39,1131,8640000,"0,00013090277777777800","0,00000335648148148149"
40,1160,8640000,"0,00013425925925925900","0,00000335648148148149"
41,1189,8640000,"0,00013761574074074100","0,00000335648148148146"
42,1218,8640000,"0,00014097222222222200","0,00000335648148148149"
43,1247,8640000,"0,00014432870370370400","0,00000335648148148149"
44,1276,8640000,"0,00014768518518518500","0,00000335648148148149"
45,1305,8640000,"0,00015104166666666700","0,00000335648148148146"
46,1334,8640000,"0,00015439814814814800","0,00000335648148148149"
47,1363,8640000,"0,00015775462962963000","0,00000335648148148149"
48,1392,8640000,"0,00016111111111111100","0,00000335648148148149"
49,1421,8640000,"0,00016446759259259300","0,00000335648148148146"
50,1450,8640000,"0,00016782407407407400","0,00000335648148148149"
51,1479,8640000,"0,00017118055555555600","0,00000335648148148149"
52,1508,8640000,"0,00017453703703703700","0,00000335648148148149"
53,1537,8640000,"0,00017789351851851900","0,00000335648148148146"
54,1566,8640000,"0,00018125000000000000","0,00000335648148148149"
55,1595,8640000,"0,00018460648148148100","0,00000335648148148149"
56,1624,8640000,"0,00018796296296296300","0,00000335648148148149"
57,1653,8640000,"0,00019131944444444400","0,00000335648148148146"
58,1682,8640000,"0,00019467592592592600","0,00000335648148148149"
59,1711,8640000,"0,00019803240740740700","0,00000335648148148149"
60,1740,8640000,"0,00020138888888888900","0,00000335648148148149"
61,1769,8640000,"0,00020474537037037000","0,00000335648148148146"
62,1798,8640000,"0,00020810185185185200","0,00000335648148148149"
63,1827,8640000,"0,00021145833333333300","0,00000335648148148149"
64,1856,8640000,"0,00021481481481481500","0,00000335648148148149"
65,1885,8640000,"0,00021817129629629600","0,00000335648148148146"
66,1914,8640000,"0,00022152777777777800","0,00000335648148148149"
67,1943,8640000,"0,00022488425925925900","0,00000335648148148149"
68,1972,8640000,"0,00022824074074074100","0,00000335648148148149"
69,2001,8640000,"0,00023159722222222200","0,00000335648148148146"
70,2030,8640000,"0,00023495370370370400","0,00000335648148148149"
71,2059,8640000,"0,00023831018518518500","0,00000335648148148149"
72,2088,8640000,"0,00024166666666666700","0,00000335648148148146"
73,2117,8640000,"0,00024502314814814800","0,00000335648148148152"
74,2146,8640000,"0,00024837962962963000","0,00000335648148148146"
75,2175,8640000,"0,00025173611111111100","0,00000335648148148146"
76,2204,8640000,"0,00025509259259259300","0,00000335648148148152"
77,2233,8640000,"0,00025844907407407400","0,00000335648148148146"
78,2262,8640000,"0,00026180555555555600","0,00000335648148148152"
79,2291,8640000,"0,00026516203703703700","0,00000335648148148146"
80,2320,8640000,"0,00026851851851851900","0,00000335648148148146"
81,2349,8640000,"0,00027187500000000000","0,00000335648148148152"
82,2378,8640000,"0,00027523148148148200","0,00000335648148148146"
83,2407,8640000,"0,00027858796296296300","0,00000335648148148146"
84,2436,8640000,"0,00028194444444444400","0,00000335648148148152"
85,2465,8640000,"0,00028530092592592600","0,00000335648148148146"
86,2494,8640000,"0,00028865740740740700","0,00000335648148148152"
87,2523,8640000,"0,00029201388888888900","0,00000335648148148146"
88,2552,8640000,"0,00029537037037037000","0,00000335648148148146"
89,2581,8640000,"0,00029872685185185200","0,00000335648148148152"
90,2610,8640000,"0,00030208333333333300","0,00000335648148148146"
91,2639,8640000,"0,00030543981481481500","0,00000335648148148146"
92,2668,8640000,"0,00030879629629629600","0,00000335648148148152"
93,2697,8640000,"0,00031215277777777800","0,00000335648148148146"
94,2726,8640000,"0,00031550925925925900","0,00000335648148148152"
95,2755,8640000,"0,00031886574074074100","0,00000335648148148146"
96,2784,8640000,"0,00032222222222222200","0,00000335648148148146"
97,2813,8640000,"0,00032557870370370400","0,00000335648148148152"
98,2842,8640000,"0,00032893518518518500","0,00000335648148148146"
99,2871,8640000,"0,00033229166666666700","0,00000335648148148146"
