Naturais,B + 62,Ciclo Perfeito,B / C,D posterior – D atual
1,62,8640000,"0,00000717592592592593","0,00000717592592592593"
2,124,8640000,"0,00001435185185185190","0,00000717592592592593"
3,186,8640000,"0,00002152777777777780","0,00000717592592592593"
4,248,8640000,"0,00002870370370370370","0,00000717592592592593"
5,310,8640000,"0,00003587962962962960","0,00000717592592592592"
6,372,8640000,"0,00004305555555555560","0,00000717592592592593"
7,434,8640000,"0,00005023148148148150","0,00000717592592592592"
8,496,8640000,"0,00005740740740740740","0,00000717592592592593"
9,558,8640000,"0,00006458333333333330","0,00000717592592592592"
10,620,8640000,"0,00007175925925925930","0,00000717592592592592"
11,682,8640000,"0,00007893518518518520","0,00000717592592592592"
12,744,8640000,"0,00008611111111111110","0,00000717592592592594"
13,806,8640000,"0,00009328703703703700","0,00000717592592592592"
14,868,8640000,"0,00010046296296296300","0,00000717592592592592"
15,930,8640000,"0,00010763888888888900","0,00000717592592592592"
16,992,8640000,"0,00011481481481481500","0,00000717592592592592"
17,1054,8640000,"0,00012199074074074100","0,00000717592592592594"
18,1116,8640000,"0,00012916666666666700","0,00000717592592592591"
19,1178,8640000,"0,00013634259259259300","0,00000717592592592594"
20,1240,8640000,"0,00014351851851851900","0,00000717592592592594"
21,1302,8640000,"0,00015069444444444400","0,00000717592592592591"
22,1364,8640000,"0,00015787037037037000","0,00000717592592592594"
23,1426,8640000,"0,00016504629629629600","0,00000717592592592591"
24,1488,8640000,"0,00017222222222222200","0,00000717592592592594"
25,1550,8640000,"0,00017939814814814800","0,00000717592592592594"
26,1612,8640000,"0,00018657407407407400","0,00000717592592592591"
27,1674,8640000,"0,00019375000000000000","0,00000717592592592594"
28,1736,8640000,"0,00020092592592592600","0,00000717592592592591"
29,1798,8640000,"0,00020810185185185200","0,00000717592592592594"
30,1860,8640000,"0,00021527777777777800","0,00000717592592592594"
31,1922,8640000,"0,00022245370370370400","0,00000717592592592591"
32,1984,8640000,"0,00022962962962963000","0,00000717592592592594"
33,2046,8640000,"0,00023680555555555600","0,00000717592592592591"
34,2108,8640000,"0,00024398148148148100","0,00000717592592592594"
35,2170,8640000,"0,00025115740740740700","0,00000717592592592594"
36,2232,8640000,"0,00025833333333333300","0,00000717592592592594"
37,2294,8640000,"0,00026550925925925900","0,00000717592592592588"
38,2356,8640000,"0,00027268518518518500","0,00000717592592592594"
39,2418,8640000,"0,00027986111111111100","0,00000717592592592594"
40,2480,8640000,"0,00028703703703703700","0,00000717592592592594"
41,2542,8640000,"0,00029421296296296300","0,00000717592592592594"
42,2604,8640000,"0,00030138888888888900","0,00000717592592592588"
43,2666,8640000,"0,00030856481481481500","0,00000717592592592594"
44,2728,8640000,"0,00031574074074074100","0,00000717592592592594"
45,2790,8640000,"0,00032291666666666700","0,00000717592592592594"
46,2852,8640000,"0,00033009259259259300","0,00000717592592592594"
47,2914,8640000,"0,00033726851851851900","0,00000717592592592588"
48,2976,8640000,"0,00034444444444444400","0,00000717592592592594"
49,3038,8640000,"0,00035162037037037000","0,00000717592592592594"
50,3100,8640000,"0,00035879629629629600","0,00000717592592592594"
51,3162,8640000,"0,00036597222222222200","0,00000717592592592594"
52,3224,8640000,"0,00037314814814814800","0,00000717592592592588"
53,3286,8640000,"0,00038032407407407400","0,00000717592592592594"
54,3348,8640000,"0,00038750000000000000","0,00000717592592592594"
55,3410,8640000,"0,00039467592592592600","0,00000717592592592594"
56,3472,8640000,"0,00040185185185185200","0,00000717592592592594"
57,3534,8640000,"0,00040902777777777800","0,00000717592592592588"
58,3596,8640000,"0,00041620370370370400","0,00000717592592592594"
59,3658,8640000,"0,00042337962962963000","0,00000717592592592594"
60,3720,8640000,"0,00043055555555555600","0,00000717592592592594"
61,3782,8640000,"0,00043773148148148200","0,00000717592592592594"
62,3844,8640000,"0,00044490740740740700","0,00000717592592592588"
63,3906,8640000,"0,00045208333333333300","0,00000717592592592594"
64,3968,8640000,"0,00045925925925925900","0,00000717592592592594"
65,4030,8640000,"0,00046643518518518500","0,00000717592592592594"
66,4092,8640000,"0,00047361111111111100","0,00000717592592592594"
67,4154,8640000,"0,00048078703703703700","0,00000717592592592588"
68,4216,8640000,"0,00048796296296296300","0,00000717592592592599"
69,4278,8640000,"0,00049513888888888900","0,00000717592592592588"
70,4340,8640000,"0,00050231481481481500","0,00000717592592592588"
71,4402,8640000,"0,00050949074074074100","0,00000717592592592599"
72,4464,8640000,"0,00051666666666666700","0,00000717592592592588"
73,4526,8640000,"0,00052384259259259300","0,00000717592592592599"
74,4588,8640000,"0,00053101851851851900","0,00000717592592592588"
75,4650,8640000,"0,00053819444444444400","0,00000717592592592588"
76,4712,8640000,"0,00054537037037037000","0,00000717592592592599"
77,4774,8640000,"0,00055254629629629600","0,00000717592592592588"
78,4836,8640000,"0,00055972222222222200","0,00000717592592592599"
79,4898,8640000,"0,00056689814814814800","0,00000717592592592588"
80,4960,8640000,"0,00057407407407407400","0,00000717592592592588"
81,5022,8640000,"0,00058125000000000000","0,00000717592592592599"
82,5084,8640000,"0,00058842592592592600","0,00000717592592592588"
83,5146,8640000,"0,00059560185185185200","0,00000717592592592599"
84,5208,8640000,"0,00060277777777777800","0,00000717592592592588"
85,5270,8640000,"0,00060995370370370400","0,00000717592592592588"
86,5332,8640000,"0,00061712962962963000","0,00000717592592592599"
87,5394,8640000,"0,00062430555555555600","0,00000717592592592588"
88,5456,8640000,"0,00063148148148148200","0,00000717592592592599"
89,5518,8640000,"0,00063865740740740700","0,00000717592592592588"
90,5580,8640000,"0,00064583333333333300","0,00000717592592592588"
91,5642,8640000,"0,00065300925925925900","0,00000717592592592599"
92,5704,8640000,"0,00066018518518518500","0,00000717592592592588"
93,5766,8640000,"0,00066736111111111100","0,00000717592592592599"
94,5828,8640000,"0,00067453703703703700","0,00000717592592592588"
95,5890,8640000,"0,00068171296296296300","0,00000717592592592588"
96,5952,8640000,"0,00068888888888888900","0,00000717592592592599"
97,6014,8640000,"0,00069606481481481500","0,00000717592592592588"
98,6076,8640000,"0,00070324074074074100","0,00000717592592592599"
99,6138,8640000,"0,00071041666666666700","0,00000717592592592588"
100,6200,8640000,"0,00071759259259259300","0,00000717592592592588"
101,6262,8640000,"0,00072476851851851800","0,00000717592592592599"
102,6324,8640000,"0,00073194444444444500","0,00000717592592592588"
103,6386,8640000,"0,00073912037037037100","0,00000717592592592599"
104,6448,8640000,"0,00074629629629629600","0,00000717592592592588"
105,6510,8640000,"0,00075347222222222200","0,00000717592592592588"
106,6572,8640000,"0,00076064814814814800","0,00000717592592592599"
107,6634,8640000,"0,00076782407407407400","0,00000717592592592588"
108,6696,8640000,"0,00077500000000000000","0,00000717592592592599"
109,6758,8640000,"0,00078217592592592600","0,00000717592592592588"
110,6820,8640000,"0,00078935185185185200","0,00000717592592592588"
111,6882,8640000,"0,00079652777777777800","0,00000717592592592599"
112,6944,8640000,"0,00080370370370370400","0,00000717592592592588"
113,7006,8640000,"0,00081087962962963000","0,00000717592592592599"
114,7068,8640000,"0,00081805555555555600","0,00000717592592592588"
115,7130,8640000,"0,00082523148148148200","0,00000717592592592588"
116,7192,8640000,"0,00083240740740740700","0,00000717592592592599"
117,7254,8640000,"0,00083958333333333300","0,00000717592592592588"
118,7316,8640000,"0,00084675925925925900","0,00000717592592592599"
119,7378,8640000,"0,00085393518518518500","0,00000717592592592588"
120,7440,8640000,"0,00086111111111111100","0,00000717592592592588"
121,7502,8640000,"0,00086828703703703700","0,00000717592592592599"
122,7564,8640000,"0,00087546296296296300","0,00000717592592592588"
123,7626,8640000,"0,00088263888888888900","0,00000717592592592599"
124,7688,8640000,"0,00088981481481481500","0,00000717592592592588"
125,7750,8640000,"0,00089699074074074100","0,00000717592592592588"
126,7812,8640000,"0,00090416666666666700","0,00000717592592592599"
127,7874,8640000,"0,00091134259259259300","0,00000717592592592588"
128,7936,8640000,"0,00091851851851851900","0,00000717592592592599"
129,7998,8640000,"0,00092569444444444500","0,00000717592592592588"
130,8060,8640000,"0,00093287037037037000","0,00000717592592592588"
131,8122,8640000,"0,00094004629629629600","0,00000717592592592599"
132,8184,8640000,"0,00094722222222222200","0,00000717592592592588"
133,8246,8640000,"0,00095439814814814800","0,00000717592592592599"
134,8308,8640000,"0,00096157407407407400","0,00000717592592592588"
135,8370,8640000,"0,00096875000000000000","0,00000717592592592588"
136,8432,8640000,"0,00097592592592592600","0,00000717592592592588"
137,8494,8640000,"0,00098310185185185200","0,00000717592592592610"
138,8556,8640000,"0,00099027777777777800","0,00000717592592592588"
139,8618,8640000,"0,00099745370370370400","0,00000717592592592588"
140,8680,8640000,"0,00100462962962963000","0,00000717592592592588"
141,8742,8640000,"0,00101180555555556000","0,00000717592592592588"
142,8804,8640000,"0,00101898148148148000","0,00000717592592592610"
143,8866,8640000,"0,00102615740740741000","0,00000717592592592588"
144,8928,8640000,"0,00103333333333333000","0,00000717592592592588"
145,8990,8640000,"0,00104050925925926000","0,00000717592592592588"
146,9052,8640000,"0,00104768518518519000","0,00000717592592592588"
147,9114,8640000,"0,00105486111111111000","0,00000717592592592610"
148,9176,8640000,"0,00106203703703704000","0,00000717592592592588"
149,9238,8640000,"0,00106921296296296000","0,00000717592592592588"
150,9300,8640000,"0,00107638888888889000","0,00000717592592592588"
151,9362,8640000,"0,00108356481481481000","0,00000717592592592588"
152,9424,8640000,"0,00109074074074074000","0,00000717592592592610"
153,9486,8640000,"0,00109791666666667000","0,00000717592592592588"
154,9548,8640000,"0,00110509259259259000","0,00000717592592592588"
155,9610,8640000,"0,00111226851851852000","0,00000717592592592588"
156,9672,8640000,"0,00111944444444444000","0,00000717592592592588"
157,9734,8640000,"0,00112662037037037000","0,00000717592592592610"
158,9796,8640000,"0,00113379629629630000","0,00000717592592592588"
159,9858,8640000,"0,00114097222222222000","0,00000717592592592588"
160,9920,8640000,"0,00114814814814815000","0,00000717592592592588"
161,9982,8640000,"0,00115532407407407000","0,00000717592592592588"
162,10044,8640000,"0,00116250000000000000","0,00000717592592592610"
163,10106,8640000,"0,00116967592592593000","0,00000717592592592588"
164,10168,8640000,"0,00117685185185185000","0,00000717592592592588"
165,10230,8640000,"0,00118402777777778000","0,00000717592592592588"
166,10292,8640000,"0,00119120370370370000","0,00000717592592592588"
167,10354,8640000,"0,00119837962962963000","0,00000717592592592610"
168,10416,8640000,"0,00120555555555556000","0,00000717592592592588"
169,10478,8640000,"0,00121273148148148000","0,00000717592592592588"
170,10540,8640000,"0,00121990740740741000","0,00000717592592592588"
171,10602,8640000,"0,00122708333333333000","0,00000717592592592588"
172,10664,8640000,"0,00123425925925926000","0,00000717592592592610"
173,10726,8640000,"0,00124143518518519000","0,00000717592592592588"
174,10788,8640000,"0,00124861111111111000","0,00000717592592592588"
175,10850,8640000,"0,00125578703703704000","0,00000717592592592588"
176,10912,8640000,"0,00126296296296296000","0,00000717592592592588"
177,10974,8640000,"0,00127013888888889000","0,00000717592592592610"
178,11036,8640000,"0,00127731481481482000","0,00000717592592592588"
179,11098,8640000,"0,00128449074074074000","0,00000717592592592588"
180,11160,8640000,"0,00129166666666667000","0,00000717592592592588"
181,11222,8640000,"0,00129884259259259000","0,00000717592592592588"
182,11284,8640000,"0,00130601851851852000","0,00000717592592592610"
183,11346,8640000,"0,00131319444444444000","0,00000717592592592588"
184,11408,8640000,"0,00132037037037037000","0,00000717592592592588"
185,11470,8640000,"0,00132754629629630000","0,00000717592592592588"
186,11532,8640000,"0,00133472222222222000","0,00000717592592592588"
187,11594,8640000,"0,00134189814814815000","0,00000717592592592610"
188,11656,8640000,"0,00134907407407407000","0,00000717592592592588"
189,11718,8640000,"0,00135625000000000000","0,00000717592592592588"
190,11780,8640000,"0,00136342592592593000","0,00000717592592592588"
191,11842,8640000,"0,00137060185185185000","0,00000717592592592588"
192,11904,8640000,"0,00137777777777778000","0,00000717592592592610"
193,11966,8640000,"0,00138495370370370000","0,00000717592592592588"
194,12028,8640000,"0,00139212962962963000","0,00000717592592592588"
195,12090,8640000,"0,00139930555555556000","0,00000717592592592588"
196,12152,8640000,"0,00140648148148148000","0,00000717592592592588"
197,12214,8640000,"0,00141365740740741000","0,00000717592592592610"
198,12276,8640000,"0,00142083333333333000","0,00000717592592592588"
