Naturais,B + 81,Ciclo Perfeito,B / C,D posterior – D atual
1,81,8640000,"0,00000937500000000000","0,00000937500000000000"
2,162,8640000,"0,00001875000000000000","0,00000937500000000000"
3,243,8640000,"0,00002812500000000000","0,00000937500000000000"
4,324,8640000,"0,00003750000000000000","0,00000937500000000000"
5,405,8640000,"0,00004687500000000000","0,00000937500000000000"
6,486,8640000,"0,00005625000000000000","0,00000937500000000000"
7,567,8640000,"0,00006562500000000000","0,00000937500000000000"
8,648,8640000,"0,00007500000000000000","0,00000937500000000001"
9,729,8640000,"0,00008437500000000000","0,00000937500000000000"
10,810,8640000,"0,00009375000000000000","0,00000937500000000000"
11,891,8640000,"0,00010312500000000000","0,00000937500000000000"
12,972,8640000,"0,00011250000000000000","0,00000937500000000000"
13,1053,8640000,"0,00012187500000000000","0,00000937500000000000"
14,1134,8640000,"0,00013125000000000000","0,00000937500000000000"
15,1215,8640000,"0,00014062500000000000","0,00000937500000000000"
16,1296,8640000,"0,00015000000000000000","0,00000937500000000003"
17,1377,8640000,"0,00015937500000000000","0,00000937500000000000"
18,1458,8640000,"0,00016875000000000000","0,00000937500000000000"
19,1539,8640000,"0,00017812500000000000","0,00000937500000000000"
20,1620,8640000,"0,00018750000000000000","0,00000937500000000000"
21,1701,8640000,"0,00019687500000000000","0,00000937500000000000"
22,1782,8640000,"0,00020625000000000000","0,00000937500000000000"
23,1863,8640000,"0,00021562500000000000","0,00000937500000000000"
24,1944,8640000,"0,00022500000000000000","0,00000937500000000000"
25,2025,8640000,"0,00023437500000000000","0,00000937500000000000"
26,2106,8640000,"0,00024375000000000000","0,00000937500000000000"
27,2187,8640000,"0,00025312500000000000","0,00000937500000000000"
28,2268,8640000,"0,00026250000000000000","0,00000937500000000000"
29,2349,8640000,"0,00027187500000000000","0,00000937500000000000"
30,2430,8640000,"0,00028125000000000000","0,00000937500000000000"
31,2511,8640000,"0,00029062500000000000","0,00000937500000000000"
32,2592,8640000,"0,00030000000000000000","0,00000937500000000005"
33,2673,8640000,"0,00030937500000000000","0,00000937500000000000"
34,2754,8640000,"0,00031875000000000000","0,00000937500000000000"
35,2835,8640000,"0,00032812500000000000","0,00000937500000000000"
36,2916,8640000,"0,00033750000000000000","0,00000937500000000000"
37,2997,8640000,"0,00034687500000000000","0,00000937500000000000"
38,3078,8640000,"0,00035625000000000000","0,00000937500000000000"
39,3159,8640000,"0,00036562500000000000","0,00000937500000000000"
40,3240,8640000,"0,00037500000000000000","0,00000937500000000000"
41,3321,8640000,"0,00038437500000000000","0,00000937500000000000"
42,3402,8640000,"0,00039375000000000000","0,00000937500000000000"
43,3483,8640000,"0,00040312500000000000","0,00000937500000000000"
44,3564,8640000,"0,00041250000000000000","0,00000937500000000000"
45,3645,8640000,"0,00042187500000000000","0,00000937500000000000"
46,3726,8640000,"0,00043125000000000000","0,00000937500000000000"
47,3807,8640000,"0,00044062500000000000","0,00000937500000000000"
48,3888,8640000,"0,00045000000000000000","0,00000937500000000000"
49,3969,8640000,"0,00045937500000000000","0,00000937500000000000"
50,4050,8640000,"0,00046875000000000000","0,00000937500000000000"
51,4131,8640000,"0,00047812500000000000","0,00000937500000000000"
52,4212,8640000,"0,00048750000000000000","0,00000937500000000005"
53,4293,8640000,"0,00049687500000000000","0,00000937499999999994"
54,4374,8640000,"0,00050625000000000000","0,00000937500000000005"
55,4455,8640000,"0,00051562500000000000","0,00000937499999999994"
56,4536,8640000,"0,00052500000000000000","0,00000937500000000005"
57,4617,8640000,"0,00053437500000000000","0,00000937499999999994"
58,4698,8640000,"0,00054375000000000000","0,00000937500000000005"
59,4779,8640000,"0,00055312500000000000","0,00000937499999999994"
60,4860,8640000,"0,00056250000000000000","0,00000937500000000005"
61,4941,8640000,"0,00057187500000000000","0,00000937499999999994"
62,5022,8640000,"0,00058125000000000000","0,00000937500000000005"
63,5103,8640000,"0,00059062500000000000","0,00000937499999999994"
64,5184,8640000,"0,00060000000000000000","0,00000937500000000005"
65,5265,8640000,"0,00060937500000000000","0,00000937500000000005"
66,5346,8640000,"0,00061875000000000000","0,00000937499999999994"
67,5427,8640000,"0,00062812500000000000","0,00000937500000000005"
68,5508,8640000,"0,00063750000000000000","0,00000937499999999994"
69,5589,8640000,"0,00064687500000000000","0,00000937500000000005"
70,5670,8640000,"0,00065625000000000000","0,00000937499999999994"
71,5751,8640000,"0,00066562500000000000","0,00000937500000000005"
72,5832,8640000,"0,00067500000000000000","0,00000937499999999994"
73,5913,8640000,"0,00068437500000000000","0,00000937500000000005"
74,5994,8640000,"0,00069375000000000000","0,00000937499999999994"
75,6075,8640000,"0,00070312500000000000","0,00000937500000000005"
76,6156,8640000,"0,00071250000000000000","0,00000937499999999994"
77,6237,8640000,"0,00072187500000000000","0,00000937500000000005"
78,6318,8640000,"0,00073125000000000000","0,00000937499999999994"
79,6399,8640000,"0,00074062500000000000","0,00000937500000000005"
80,6480,8640000,"0,00075000000000000000","0,00000937499999999994"
81,6561,8640000,"0,00075937500000000000","0,00000937500000000005"
82,6642,8640000,"0,00076875000000000000","0,00000937499999999994"
83,6723,8640000,"0,00077812500000000000","0,00000937500000000005"
84,6804,8640000,"0,00078750000000000000","0,00000937499999999994"
85,6885,8640000,"0,00079687500000000000","0,00000937500000000005"
86,6966,8640000,"0,00080625000000000000","0,00000937500000000005"
87,7047,8640000,"0,00081562500000000000","0,00000937499999999994"
88,7128,8640000,"0,00082500000000000000","0,00000937500000000005"
89,7209,8640000,"0,00083437500000000000","0,00000937499999999994"
90,7290,8640000,"0,00084375000000000000","0,00000937500000000005"
91,7371,8640000,"0,00085312500000000000","0,00000937499999999994"
92,7452,8640000,"0,00086250000000000000","0,00000937500000000005"
93,7533,8640000,"0,00087187500000000000","0,00000937499999999994"
94,7614,8640000,"0,00088125000000000000","0,00000937500000000005"
95,7695,8640000,"0,00089062500000000000","0,00000937499999999994"
96,7776,8640000,"0,00090000000000000000","0,00000937500000000005"
97,7857,8640000,"0,00090937500000000000","0,00000937499999999994"
98,7938,8640000,"0,00091875000000000000","0,00000937500000000005"
99,8019,8640000,"0,00092812500000000000","0,00000937499999999994"
100,8100,8640000,"0,00093750000000000000","0,00000937500000000005"
101,8181,8640000,"0,00094687500000000000","0,00000937499999999994"
102,8262,8640000,"0,00095625000000000000","0,00000937500000000005"
103,8343,8640000,"0,00096562500000000000","0,00000937499999999994"
104,8424,8640000,"0,00097500000000000000","0,00000937500000000005"
105,8505,8640000,"0,00098437500000000000","0,00000937500000000005"
106,8586,8640000,"0,00099375000000000000","0,00000937499999999984"
107,8667,8640000,"0,00100312500000000000","0,00000937500000000005"
108,8748,8640000,"0,00101250000000000000","0,00000937500000000005"
109,8829,8640000,"0,00102187500000000000","0,00000937500000000005"
110,8910,8640000,"0,00103125000000000000","0,00000937500000000005"
111,8991,8640000,"0,00104062500000000000","0,00000937499999999984"
112,9072,8640000,"0,00105000000000000000","0,00000937500000000005"
113,9153,8640000,"0,00105937500000000000","0,00000937500000000005"
114,9234,8640000,"0,00106875000000000000","0,00000937500000000005"
115,9315,8640000,"0,00107812500000000000","0,00000937499999999984"
116,9396,8640000,"0,00108750000000000000","0,00000937500000000005"
117,9477,8640000,"0,00109687500000000000","0,00000937500000000005"
118,9558,8640000,"0,00110625000000000000","0,00000937500000000005"
119,9639,8640000,"0,00111562500000000000","0,00000937499999999984"
120,9720,8640000,"0,00112500000000000000","0,00000937500000000005"
121,9801,8640000,"0,00113437500000000000","0,00000937500000000005"
122,9882,8640000,"0,00114375000000000000","0,00000937500000000005"
123,9963,8640000,"0,00115312500000000000","0,00000937499999999984"
124,10044,8640000,"0,00116250000000000000","0,00000937500000000005"
125,10125,8640000,"0,00117187500000000000","0,00000937500000000005"
126,10206,8640000,"0,00118125000000000000","0,00000937500000000005"
127,10287,8640000,"0,00119062500000000000","0,00000937499999999984"
128,10368,8640000,"0,00120000000000000000","0,00000937500000000005"
129,10449,8640000,"0,00120937500000000000","0,00000937500000000005"
130,10530,8640000,"0,00121875000000000000","0,00000937500000000005"
131,10611,8640000,"0,00122812500000000000","0,00000937500000000005"
132,10692,8640000,"0,00123750000000000000","0,00000937499999999984"
133,10773,8640000,"0,00124687500000000000","0,00000937500000000005"
134,10854,8640000,"0,00125625000000000000","0,00000937500000000005"
135,10935,8640000,"0,00126562500000000000","0,00000937500000000005"
136,11016,8640000,"0,00127500000000000000","0,00000937499999999984"
137,11097,8640000,"0,00128437500000000000","0,00000937500000000005"
138,11178,8640000,"0,00129375000000000000","0,00000937500000000005"
139,11259,8640000,"0,00130312500000000000","0,00000937500000000005"
140,11340,8640000,"0,00131250000000000000","0,00000937499999999984"
141,11421,8640000,"0,00132187500000000000","0,00000937500000000005"
142,11502,8640000,"0,00133125000000000000","0,00000937500000000005"
143,11583,8640000,"0,00134062500000000000","0,00000937500000000005"
144,11664,8640000,"0,00135000000000000000","0,00000937499999999984"
145,11745,8640000,"0,00135937500000000000","0,00000937500000000005"
146,11826,8640000,"0,00136875000000000000","0,00000937500000000005"
